"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","ARMSTRONG","011","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","17,800","0.9"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","BRISCOE","045","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","14,200","2.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","BRISCOE","045","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","37,200","2.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CARSON","065","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","50,500","1.4"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CARSON","065","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","65,800","1.4"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CASTRO","069","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","21,200","0.8"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CASTRO","069","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","38,900","0.7"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","DEAF SMITH","117","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","9,500","6.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","DEAF SMITH","117","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","13,300","6.4"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","FLOYD","153","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","103,600","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","FLOYD","153","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","184,500","0.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","GRAY","179","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","18,300","7.0"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","GRAY","179","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","22,600","6.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HALE","189","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","144,600","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HALE","189","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","209,500","0.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HANSFORD","195","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","21,500","3.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HANSFORD","195","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","33,600","3.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","MOORE","341","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","16,300","7.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","MOORE","341","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","22,700","7.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","PARMER","369","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","27,900","1.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","PARMER","369","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","56,800","1.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","RANDALL","381","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,400","20.2"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","RANDALL","381","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","11,200","20.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SHERMAN","421","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","16,700","2.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SHERMAN","421","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","28,700","2.0"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SWISHER","437","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","45,200","0.9"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SWISHER","437","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","86,100","0.8"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","ANDREWS","003","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,830","16.1"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","ANDREWS","003","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","16,000","18.4"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","BAILEY","017","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","28,000","1.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","BAILEY","017","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","60,900","1.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","COCHRAN","079","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","77,500","0.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","COCHRAN","079","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","122,500","0.4"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","CROSBY","107","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","116,100","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","CROSBY","107","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","214,000","0.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","DAWSON","115","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","90,300","0.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","DAWSON","115","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","332,500","0.2"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","GAINES","165","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","121,000","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","GAINES","165","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","283,000","0.2"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","GLASSCOCK","173","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","12,000","1.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","GLASSCOCK","173","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","111,500","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","HOCKLEY","219","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","99,000","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","HOCKLEY","219","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","265,000","0.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LAMB","279","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","82,500","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LAMB","279","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","172,000","0.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LUBBOCK","303","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","162,300","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LUBBOCK","303","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","245,000","0.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LYNN","305","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","167,400","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LYNN","305","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","335,000","0.2"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","MARTIN","317","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","15,200","1.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","MARTIN","317","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","173,500","0.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","TERRY","445","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","135,300","0.5"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","TERRY","445","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","245,000","0.3"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","YOAKUM","501","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","60,900","0.6"
"SURVEY","2024","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","YOAKUM","501","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","131,500","0.4"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","BRISCOE","045","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","13,900","0.4"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","BRISCOE","045","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,400","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CARSON","065","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,440","0.6"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CARSON","065","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","27,400","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CASTRO","069","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","13,300","0.4"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CASTRO","069","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","28,900","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","DEAF SMITH","117","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,470","0.5"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","DEAF SMITH","117","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","4,800","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","FLOYD","153","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","84,600","0.4"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","FLOYD","153","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","183,000","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HALE","189","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","76,000","0.5"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HALE","189","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","145,000","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HANSFORD","195","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","8,710","0.5"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HANSFORD","195","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","26,300","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SHERMAN","421","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,700","0.5"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SHERMAN","421","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","18,000","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SWISHER","437","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","29,300","0.4"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SWISHER","437","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","56,100","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","BAILEY","017","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","26,800","0.4"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","BAILEY","017","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","48,800","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","COCHRAN","079","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","52,500","0.4"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","COCHRAN","079","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","113,000","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","CROSBY","107","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","86,100","0.5"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","CROSBY","107","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","218,000","0.1"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","DAWSON","115","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","30,600","1.2"
"SURVEY","2023","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","DAWSON","115","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","330,500","0.1"
